drug	disease	label
C15H10O4	anaerobic_bacterium_'strain_7'	1
C15H10O5	Bacteroides_uniformis	1
C54H92O23	Bacteroides	1
C54H92O23	Bifidobacterium_Genus	1
C12H22O11	Klebsiella_pneumoniae	1
C12H22O11	Enterococcus_faecalis_(Streptococcus_faecalis)	1
C12H22O11	Cronobacter_sakazakii	1
C12H22O11	Enterococcus_casseliflavus	1
C11H12N2S	Bacteroides	1
C10H15N	Clostridia	1
C10H15N	Enterococcus	1
C10H15N	Lactobacillus	1
C21H20O12	Enterococcus_casseliflavus	1
C21H20O12	Eubacterium_ramulus	1
C8H9NO2	Clostridioides_difficile	1
C41H64O14	Eggerthella_lenta	1
C11H13BrN2O6	Bacteroides_fragilis	1
C11H13BrN2O6	Bacteroides_thetaiotaomicron	1
C11H13BrN2O6	Bacteroides_uniformis	1
C11H13BrN2O6	Bacteroides_vulgatus	1
C11H13BrN2O6	Bacteroides_eggerthii	1
C7H15Cl2N2O2P	Firmicutes	1
C8H9NO2	Fusobacteria	1
C8H9NO2	Bacteroidetes	1
C8H9NO2	Actinobacteria	1
C21H20O9	Enterococcus_faecium_(Streptococcus_faecium)	1
C21H20O9	Bifidobacterium_sp.	1
C21H20O9	Lactobacillus_mucosae	1
C21H20O9	Eggerthella_sp._Species_84111	1
C14H6O8	Gordonibacter	1
C16H24N2	Campylobacter	1
C16H24N2	Escherichia	1
C16H24N2	Enterococcus	1
C16H24N2	Clostridium	1
C16H24N2	Corynebacterium_Genus	1
C8H10O2	Raoultella_terrigena	1
C7H5NO3S	Clostridiales_bacterium_Species_n.a.	1
C18H14N4O5S	Enterococcus_faecalis_(Streptococcus_faecalis)	1
C18H14N4O5S	Lactobacillus_sp.	1
C18H14N4O5S	Bacteroides_sp._Species_816	1
C44H69NO12	Faecalibacterium_prausnitzii	1
C20H26O6	Enterococcus_faecalis_(Streptococcus_faecalis)	1
C20H26O6	Eubacterium_limosum	1
C20H26O6	Clostridium_scindens	1
C20H26O6	Blautia_producta	1
C20H26O6	Eggerthella_lenta	1
C20H26O6	Lactonifactor_longoviformis	1
C7H5NO3S	Bacteroides	1
C9H18NO2	Firmicutes	1
C16H19N3O5S	Lactobacillus	1
C16H19N3O5S	Clostridioides_difficile	1
C16H19N3O5S	Candida_albicans	1
C25H27N9O8S2	Candida_albicans	1
C18H36N4O11	Lactobacillus	1
C6H9N3O3	Bifidobacterium_sp.	1
C21H39N7O12	Salmonella_enterica_subsp._enterica_serovar_Typhimurium_Subspecies	1
C6H9N3O3	Clostridium_perfringens_Species_1485	1
C12H22O11	Bacteroides	1
C12H22O11	Lactobacillus	1
C12H22O11	Escherichia_coli	1
C11H12N2S	Bacteroidetes	1
C15H16O2	Escherichia_coli_ATCC_25922	1
C15H11N3O3	Clostridium_leptum	1
C11H13BrN2O6	Bacteroides_sp._Species_816	1
C9H11FN2O5	Mycoplasma_hyorhinis	1
C10H11F3N2O5	Mycoplasma_hyorhinis	1
C7H15Cl2N2O2P	Lactobacillus	1
C7H15Cl2N2O2P	Pseudomonas_aeruginosa	1
C7H15Cl2N2O2P	Enterococcus_hirae	1
C7H15Cl2N2O2P	Barnesiella_intestinihominis	1
C7H15Cl2N2O2P	Lactobacillus_murinus	1
C7H15Cl2N2O2P	Lactobacillus_johnsonii_Species_1578	1
C27H29NO11	Enterococcus_hirae	1
C27H29NO11	Lactobacillus_murinus	1
C27H29NO11	Lactobacillus_johnsonii_Species_1578	1
C9H11F2N3O4	Mycoplasma	1
C33H38N4O6	Enterobacteriaceae	1
C33H38N4O6	Streptococcus_thermophilus	1
C33H38N4O6	Clostridioides_difficile	1
C33H38N4O6	Lactobacillus_acidophilus	1
C33H38N4O6	Lactobacillus_plantarum_Species_1578	1
C33H38N4O6	Lactobacillus_paracasei_Species_1578	1
C33H38N4O6	Bifidobacterium_breve	1
C33H38N4O6	Bifidobacterium_longum_(Bifidobacterium_infantis,_Bifidobacterium_suis)	1
C33H38N4O6	Lactobacillus_delbrueckii_subsp._bulgaricus	1
C33H38N4O6	Bifidobacterium_longum_subsp._infantis	1
C20H22N8O5	Bacteroides	1
C20H22N8O5	Streptococcus	1
C11H13BrN2O5	Bacteroides_thetaiotaomicron	1
C11H13BrN2O5	Bacteroides_ovatus	1
C11H13BrN2O6	Bacteroides_ovatus	1
C6H8N2O2S	Streptococcus_pyogenes	1
C15H10O4	Lactococcus_garvieae	1
C15H10O4	Adlercreutzia_equolifaciens	1
