drug	disease	label
C16H19ClN2O2	Vibrio_harveyi	1
C25H20O9	Staphylococcus_aureus	1
C6H10OS2	Streptococcus_mutans	1
C20H32O3	Pseudomonas_aeruginosa	1
C20H32O3	Staphylococcus_aureus	1
C20H32O3	Vibrio_harveyi	1
C20H34O2	Pseudomonas_aeruginosa	1
C20H34O2	Staphylococcus_aureus	1
C20H34O2	Vibrio_harveyi	1
C20H32O2	Pseudomonas_aeruginosa	1
C8H8OS	Streptococcus_sanguis	1
C8H8OS	Actinomyces_oris	1
C6H10OS2	Streptococcus_sanguis	1
C6H10OS2	Actinomyces_oris	1
C2H4OS	Streptococcus_mutans	1
C2H4OS	Streptococcus_sanguis	1
C16H12ClN3O2	Streptococcus_mutans	1
C14H13N3O4	Candida_albicans	1
C16H18OS2	Streptococcus_mutans	1
C16H18OS2	Actinomyces_oris	1
C20H14O3	Enterococcus_faecalis_(Streptococcus_faecalis)	1
C20H14O3	Staphylococcus_aureus	1
C20H14O3	Staphylococcus_epidermidis	1
C20H14O3	Streptococcus_mutans	1
C20H14O3	Pseudomonas_aeruginosa	1
C19H12ClNO3	Enterococcus_faecalis_(Streptococcus_faecalis)	1
C19H12ClNO3	Staphylococcus_aureus	1
C19H12ClNO3	Staphylococcus_epidermidis	1
C19H12ClNO3	Streptococcus_mutans	1
C19H12ClNO3	Pseudomonas_aeruginosa	1
C20H13NO6	Enterococcus_faecalis_(Streptococcus_faecalis)	1
C20H13NO6	Staphylococcus_aureus	1
C20H13NO6	Staphylococcus_epidermidis	1
C20H13NO6	Streptococcus_mutans	1
C20H13NO6	Pseudomonas_aeruginosa	1
C22H20ClNO5	Enterococcus_faecalis_(Streptococcus_faecalis)	1
C22H20ClNO5	Staphylococcus_aureus	1
C22H20ClNO5	Staphylococcus_epidermidis	1
C22H20ClNO5	Streptococcus_mutans	1
C22H20ClNO5	Pseudomonas_aeruginosa	1
C21H18ClNO4	Enterococcus_faecalis_(Streptococcus_faecalis)	1
C21H18ClNO4	Staphylococcus_aureus	1
C21H18ClNO4	Staphylococcus_epidermidis	1
C21H18ClNO4	Streptococcus_mutans	1
C21H18ClNO4	Pseudomonas_aeruginosa	1
C22H20O4	Enterococcus_faecalis_(Streptococcus_faecalis)	1
C22H20O4	Staphylococcus_aureus	1
C22H20O4	Staphylococcus_epidermidis	1
